haar,haar_d,dabu5,daub5_d,symlet,symlet_d,coiff5,coiff5_d,daub2,daub2_d,daub4,daub4_d,daub6,daub6_d,daub8,daub8_d,daub10,daub10,daub12,daub12,daub14,daub14_d,daub16,daub16_d,daub18,daub18_d,daub20,daub20_d,daub3,daub3_d,coiff3,coiff3_d
,,,,,,,,,,,,,,,,,,,,,,,,,,2.01E-10,0.219942114,,,,
,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,-1.81E-08,-0.06342378,,,,
,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,4.06E-09,0.010549395,,,,
,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,-3.00E-10,-0.000779954,,,,
,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
